标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
中海观澜府(住宅) 4室1厅 西南,1215,84924,海珠,4室1厅2卫,143.07㎡,平层,塔楼,低楼层(共38层),暂无数据,109.68㎡,西南,钢混结构,其他,,有,,
加装电梯~、方正两房~、双阳台~、采光视野好~、近地铁,163,32804,海珠,2室1厅1卫,49.69㎡,平层,塔楼,高楼层(共9层),暂无数据,46.73㎡,北,钢混结构,其他,,有,商场：燕汇广场~、苏宁电器。医院：广东省附属第二医院~、广东省口腔医院~、珠江医院。市场：细岗肉偿市场~、泰宁市场;公园：晓港公园~、庄头公园。,小区距离双地铁江泰路站约400米~、泰宁公交站140米~、南泰路公交站205米
雅林居 2室1厅 北,195,27300,海珠,2室1厅1卫,71.43㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,北,钢混结构,精装,,,,
南洲名苑 大两房  视野开阔 采光通风好,235,32428,海珠,2室2厅1卫,72.47㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东北,钢混结构,简装,,有,综合商场：海珠新都荟广场、华润X家、国美电器、沃尔玛、河马生鲜等市场：晓港湾菜市场、侨城菜市场等医院：中山二院南院三甲、紫荆医院等银行：中国银行、工商银行、建设银行、农业银行等,公交车：南洲名苑(瑞宝花园)站~、途经的线路：882路、13路、309路、79路、86路、87路。287地铁：二号线广佛线交汇站南洲站
东华星域 西南向两房 旺中带静 交通方便 生活方便,400,51269,海珠,2室1厅1卫,78.02㎡,平层,塔楼,低楼层(共28层),暂无数据,59.43㎡,西南,钢混结构,简装,,有,商场：奥特来斯家乐福碧优选小港路肉菜市场星巴克麦当劳肯德基~、江南西~、北京路~、沙面等商圈银行：平安银行、光大银行、广州银行、广发银行医院：广医二院、珠江医院、红十字会医院交通：地铁2号线市二宫站、市二宫公交车站,地铁站：2号线市二宫站A出口；公交车：5、10、14、29、180、285、253等多路公交车
滨江东一套很优质的2011年收楼的精装两房↓↓↓↓↓↓,330,39268,海珠,2室1厅1卫,84.04㎡,平层,塔楼,中楼层(共31层),暂无数据,暂无,北,钢混结构,精装,,有,,云桂村站~、途经线路包括5、14、44、88、93、129、129A、192、276、823、夜8和夜30比邻未来滨江东路10号线
大版一房一厅~、少量放盘~、使用起来巴适。,246,41787,海珠,1室1厅1卫,58.87㎡,平层,塔楼,低楼层(共32层),暂无数据,44.42㎡,西,钢混结构,其他,,有,琶洲互联网电商城商圈氛围逾发浓厚年轻一族住房需求旺小区自带泳池健身等设施地铁广州塔站就在旁边广州塔尽收眼底尽享滨江东江边休闲绿化带,地铁：3号线~、APM线~、有轨电车广州塔站；在建12号线岭南广场站。公交：广州大桥底站：11路~、93路~、468路~、121路~、121A路~、旅游观光1线；客村立交站：53路等
侨诚花园 1室1厅 东,145,27261,海珠,1室1厅1卫,53.19㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,东,钢混结构,精装,,,,
光大花园中海锦榕湾 3室2厅 南,758,69759,海珠,3室2厅2卫,108.66㎡,平层,塔楼,中楼层(共33层),暂无数据,暂无,南,钢混结构,精装,,有,,
毛纺小区 电梯楼 好楼层 正南向,206,36027,海珠,2室1厅1卫,57.18㎡,平层,塔楼,高楼层(共6层),暂无数据,暂无,南,钢混结构,精装,,有,此房子地段相当好配套齐全。赤岗购物步行街纵横广场四季天地商城珠影广场沃尔玛商场饮食：珠影饮食街赤岗北路四季天地饮食广场艺园路饮食步行街琶堤酒吧街娱乐：活力无限KTV客村店医院：省二医规划:磨碟沙电商总部。,交通便利地铁:客村站、赤岗站公交站:珠影站共有30多条线路可供你选择14路、37路、69路、(源江线131A路、131B路)、184路、190路、270路、226路、B7路、B7路快线、大学城专线、高峰路线：22路、39路、55路。
原装电梯  地铁200米 采光通风好,159,26872,海珠,2室1厅1卫,59.17㎡,平层,塔楼,高楼层(共23层),暂无数据,48.22㎡,东,钢混结构,其他,,有,商场：好又多、华润迈家、城光荟。市场：侨城菜市场、晓港湾菜市场、瑞宝菜市场。医院：中山二院南院三甲、紫荆医院。财厅：中国银行、工商银行、建设银行、农业银行、民生银行、浦发银行。,公交：5路、35路、70路、75路、82路、125路、129路、129A路、263路、273路、276路、287路、542路、780路、812路、967路、地铁：2号线东晓南站、2号线南洲站
万华花园 六星台精装修大三房 有保姆房 近地铁,400,37238,海珠,3室2厅2卫,107.42㎡,平层,板楼,低楼层(共18层),暂无数据,暂无,南北,钢混结构,精装,,有,沃尔玛、新都荟购物广场。医院：中山大学孙逸仙纪念医院南院。银行农业银行瑞宝支行、建设银行南洲路支行、中国银行南洲路支行。饮食：五谷拉肠、麦当劳、顶好味酸辣粉、晓港湾大酒楼~、娱乐：晓港湾休闲会所等,双地铁2号线和10号线东晓南站步行600米距离~、公交站263总站等公交线
穗宁花园 厅出阳台南向 户型方正 采光好 有电梯位置,170,23120,海珠,3室2厅1卫,73.53㎡,平层,塔楼,高楼层(共9层),暂无数据,66.44㎡,南,钢混结构,精装,,,邻近地铁站~、多条公交线路经过；多家三甲医院~、就医便利；多个购物广场和市场生活便利,
封闭式花园 双地铁 适合刚需客户,130,26558,海珠,2室1厅1卫,48.95㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,医院：广州医学院第二附属医院、口腔医院、珠江医院、石溪中医院市场：晓燕湾菜市场华润/保利红棉市场石溪肉菜市场。银行：中国银行、工商银行、建设银行农业银行交通银行等等燕子岗体育场庄头公园小区隔壁有幼儿园,双地铁2号线和11号线。从门口出来~、21米是燕子岗公交站~、燕子岗公交站有13条公交站~、分别是13路180路530路544路546路、551路、86路、87路、967路、992路、B9路、夜16路、夜32路。可以方便的达到各个区
单身必备大单间~、旺中带静~、养尊处优~、,55,27962,海珠,1室1厅1卫,19.67㎡,平层,板楼,低楼层(共3层),暂无数据,15.84㎡,南,混合结构,其他,,,近沙园~、江南西地铁~、市场多~、有江南西地下城~、小吃丰富~、近沙园菜市场~、买菜便利又实惠~、生活便利~、还有乐峰广场~、以及太古仓网红打卡点~、看电影~、逛街~、游玩都很方便交通便利~、距离地铁二号线江南西地铁站步行800米~、社区门前西基东公交站~、步行500米就..,
泓景花园B区 高层西北向 两房,598,78140,海珠,2室2厅1卫,76.53㎡,平层,塔楼,中楼层(共24层),暂无数据,61.66㎡,西北,钢混结构,其他,,有,泓景花园小区位于广州新中轴线广州塔板块~、“一场三馆”旁边~、比邻琶洲电商总部！商场：四季天地~、丽影广场。医院:广东省第二人民医院~、中国人民解放军第七十四集团军医院~、广州市妇女儿童医疗机构珠江新城院区。银行：建行、招行,交通出行：泓景花园位于地铁客村站~、赤岗站~、广州塔站之间~、交通便利。未来十二号线岭南广场站于2024年开通~、距离小区300米左右。门口还有公交车站262路~、B7路121路~、131A路~、229路~、93路~、189路等方便大家出行。
原装电梯 装修比较新 可拎包入住~、交通便利,120,43275,海珠,2室1厅1卫,27.73㎡,平层,塔楼,中楼层(共15层),暂无数据,21.07㎡,北,钢混结构,其他,,有,中大南门楼下100-300米有地铁8号线~、10号线~、出行方便~、商场：丽影广场医院：省荣军医院~、广医二院银行：一公里内中农工建公园：晓港公园,公交：中大站~、途经有250路~、270路~、14路~、188路~、226路~、206路~、190路~、53路~、264路等多线路。地铁：中大站（8号线）现在在建10号线中大南门站（在建）
江南大道中 实用小户型 海珠老商圈,86,22344,海珠,1室1厅1卫,38.49㎡,平层,板楼,中楼层(共6层),暂无数据,34.78㎡,东西,混合结构,毛坯,,,好又多、家乐福医院：海珠区人民医院、东升医院银行：工商银行、农业银行、建设银行、光大银行饮食：嘉华美食、云香快餐娱乐：晓港公园,公交车：江南大道中站~、途经线路：285、14、25、29、82、86、87、88、180、186、190、192、222、253、544、823、夜16、夜20、夜30、夜32和夜33地铁：地铁2号线江南西站
晓港湾  原装电梯实用三房 中高层通风采光好,279,32801,海珠,3室2厅1卫,85.06㎡,平层,塔楼,高楼层(共23层),暂无数据,暂无,东北,钢混结构,精装,,有,楼盘属于综合商场~、广场、苏宁电器~、华润~、新光~、海珠新都会广场钱~、大妈等。市场：侨诚菜市场~、晓港湾菜市场。医院：中山二院南院（三甲医院）紫荆医院等。银行：中国银行~、工商银行、建设银行、农业银行等,高铁站（广州南站）地铁：广州地铁二号线和广佛地铁线~、地铁10号线（正在动工）公交：晓港湾总站~、途经路线包括551路、八八二路287路35路125路882路276路273路263路546路129路70路75路5路239路等
怡安花园难得采光通风不错的两房户型 看中Jia格可谈,233,31030,海珠,2室1厅1卫,75.09㎡,平层,塔楼,高楼层(共9层),暂无数据,68㎡,东南,钢混结构,其他,,,市二宫地铁~、富基广场~、小港路菜市场~、第二工人文化宫在建~、奥特莱斯广场~、江南西步行街,小区公共交通便利~、步行至2号线市二宫地铁站500米~、1个站可转6号线海珠广场~、2个站可转1号线公园前与8号线昌岗~、5个站内可转5号线和广佛线。步行至公交车站大约500米~、江湾桥南公交站~、可到广州市各个区域。自驾出行可走江南大道~、江湾路~、滨江路。
11号线  海珠湾次新房~、望花园单位,430,49443,海珠,3室2厅1卫,86.97㎡,平层,塔楼,低楼层(共55层),暂无数据,暂无,东北,钢混结构,精装,,有,公园：庄头公园距离小区500米医疗：广州医学院第二附属医院、南方医科大学珠江医院（三甲医院）配套：华润、华新方圆333广场；保利红棉肉菜市场、广纸肉菜市场、石溪肉菜市场；中国银行、工商银行、建设银行等等,地铁：双地铁配套~、广佛线燕岗站~、11号环城线棣园站公交：纸厂邮局站（29~、31~、230~、963~、469号公交）~、纸厂总站（29~、469~、544~、夜32号线）~、纸厂横马路总站（230号线）公园：庄头公园距离小区500米医疗：广州医学院第二附属医院、南方医科大学珠江医院..
江南西紫金大街 满五唯一 大院管理 大阳台 精装 省级,145,36691,海珠,2室2厅1卫,39.52㎡,平层,板楼,中楼层(共8层),暂无数据,35.71㎡,东南,钢混结构,精装,,,拥有800米江南西步行街、新一城商场、富力海珠城。市场：van松园市场、江南东肉菜市场、泰宁市场、沙园市场。银行：中国银行、建设银行、工商银行、农业银行。医院：正骨医院~、广医二院~、珠江医院、红十字会医院。,离江南西地铁B出口400米~、可坐2号线到广州南北区域~、坐一站到昌岗地铁站可转8号线。有多个公交站~、包括南村站~、江南西路站~、华海大厦站等~、可通往广州各大区域~、交通便利。
建基路 电梯到五楼 南向飞机户型,155,29114,海珠,2室2厅1卫,53.24㎡,平层,塔楼,高楼层(共10层),暂无数据,暂无,南北,钢混结构,其他,,有,全家便利店(建基路店)~、广东省图书批发~、怡乐路肉菜综合市场~、海联肉菜市场~、新凤凰菜市场~、凯印食品交易市场~、蟠龙市场,距离中大地铁站1138米~、晓港地铁站960米~、江南西地铁站1363米~、昌岗地铁站1487米
格局方正   配套成熟~、交通方便~、大院管理石米外墙,238,39535,海珠,3室1厅1卫,60.2㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,东南,钢混结构,简装,,有,此房距离2-8号线昌岗地铁A出口仅400米~、门口就是礼岗公交车站~、交通出行很方便。,此房位于海珠区江南大道南~、老城区~、居住集中~、距离昌岗地铁400米左右~、距离细岗菜市场400米左右~、距离an科里商场500米左右~、配套全面
海珠小雅 电梯高层大两房 厅大房大 精装修 高层望江,350,46156,海珠,2室2厅1卫,75.83㎡,平层,塔楼,中楼层(共33层),暂无数据,59.66㎡,南西北,钢混结构,精装,,有,医院：广州医学院第二附属医院、口腔医院、珠江医院、石溪中医院市场：华润、保利红棉市场、石溪肉菜市场。银行：中国银行、工商银行、建设银行农业银行交通银行等,广佛线燕岗站~、出行方便。小区出来就有公交车站.路站途经公交车：79路~、288a路~、309路~、469路~、521路~、527路180路31路29路583路13路288路202路87路等
佳滨苑 2室2厅 西,480,60166,海珠,2室2厅1卫,79.78㎡,平层,塔楼,高楼层(共38层),暂无数据,暂无,西,钢混结构,其他,,有,,
江南西板块 户型方正南向大三房 1梯两户 省级松园,230,27142,海珠,3室1厅1卫,84.74㎡,平层,塔楼,中楼层(共7层),暂无数据,76.56㎡,东南,钢混结构,其他,,,晓港公园300多米~、江南西地铁和南园肉菜市场400多米~、富力海珠城和江南步行街450米~、四大银行600米内覆盖。社区环境好,地铁站：江南西地铁E口途径路线：2号线（一站到昌岗站~、可转8号线）公交站：江南大道中站、南村1站和南村2站、江南西路站、华海大厦1站和华海大厦2站途径路线：25路、29路、44路、82路、180路、222路、270路、299路等
三地铁 交通便利 中间位置 好楼层前后花园 安静舒适,295,35880,海珠,3室2厅1卫,82.22㎡,平层,塔楼,中楼层(共13层),暂无数据,70.91㎡,南北,钢混结构,简装,,有,,小区旁边有3条地铁线路和30多路公交车途经~、步行到最近的地铁口才330米~、交通便利。
金丰大厦 双独立套房 装修保养新净 交通便利,290,35905,海珠,2室1厅1卫,80.77㎡,平层,塔楼,低楼层(共26层),暂无数据,61.5㎡,北,钢混结构,其他,,有,好又多中惠市等~、六福广场~、丽影广场~、哈艺时尚影城等医院：复大医院四二一医院省二人民医院等银行：工商银行农业银行交通银行.近海珠湖~、平时下班或者休息可以步行约1000米过去散散步~、看看风景。,地铁站:三号线大塘站客村站、八号线赤岗站公交站:珠影站共有30多条线路可供你选择14路、37路、69路、(源江线131A路、131B路)、184路、190路、270路、226路、B7路、B7路快线、大学城专线、高峰路线：22路、39路、55路、59路、6路、74路
海珠城央 原装电梯 东南三房 公园旁地铁沿线,320,29696,海珠,3室1厅1卫,107.76㎡,平层,塔楼,中楼层(共23层),暂无数据,90.19㎡,南,钢混结构,简装,,有,,
南景园 东南向 户型方正实用 旺中带静,480,40963,海珠,4室1厅2卫,117.18㎡,平层,塔楼,低楼层(共12层),暂无数据,101.99㎡,东南,钢混结构,简装,,有,,小区北门有B9公交总站~、东门有燕翔路公交站~、距离2号线/11号线江泰地铁站
地铁沿线 配套成熟 业主诚意卖,136,20418,海珠,2室1厅1卫,66.61㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,简装,,,,公交：129路~、263路~、287路~、299路。308路~、5路~、70路~、夜24路地铁：中大8号线站
封闭式小区~、独立花园~、人车分流~、高层采光通风好,768,80673,海珠,3室2厅1卫,95.2㎡,平层,板塔结合,高楼层(共26层),暂无数据,73.98㎡,东北,钢混结构,其他,,有,生活配套：金碧三市场~、医院：石溪医院、珠江医院、中山二院南院~、恒大社区健康医疗邮局：鸣翠邮局、南石头邮局银行林立：工行、兴业、招行、邮政等。餐饮：KFC~、麦当劳~、真功夫潮汕美食等。娱乐休闲金碧大世界等~、明星会KTV等,步行130米左右到达金碧花园公交站台~、线路：13、59、79、86、87、180、221、230、288、309、546、551等。步行100米左右到达广佛线石溪地铁站B口
鸿益华府 2室1厅 西北,560,58824,海珠,2室1厅1卫,95.2㎡,平层,板塔结合,高楼层(共26层),暂无数据,73.98㎡,西北,钢混结构,其他,,有,,
封闭式小区~、独立花园~、人车分流~、高层采光通风好,815,83087,海珠,3室2厅1卫,98.09㎡,平层,板塔结合,高楼层(共26层),暂无数据,76.22㎡,南,钢混结构,其他,,有,生活配套：金碧三市场~、医院：石溪医院、珠江医院、中山二院南院~、恒大社区健康医疗邮局：鸣翠邮局、南石头邮局银行林立：工行、兴业、招行、邮政等。餐饮：KFC~、麦当劳~、真功夫潮汕美食等。娱乐休闲金碧大世界等~、明星会KTV等,步行130米左右到达金碧花园公交站台~、线路：13、59、79、86、87、180、221、230、288、309、546、551等。步行100米左右到达广佛线石溪地铁站B口
鸿益华府 2室2厅 南 东北,566,59454,海珠,2室2厅1卫,95.2㎡,平层,板塔结合,高楼层(共26层),暂无数据,73.98㎡,南东北,钢混结构,其他,,有,,
鸿益华府 3室2厅 南,599,61067,海珠,3室2厅1卫,98.09㎡,平层,板塔结合,高楼层(共26层),暂无数据,76.22㎡,南,钢混结构,其他,,有,,
2012年楼  石溪地铁190米 全新无住过,594,60557,海珠,3室2厅1卫,98.09㎡,平层,板塔结合,高楼层(共26层),暂无数据,76.22㎡,南,钢混结构,其他,,有,生活配套：金碧三市场~、医院：石溪医院、珠江医院、中山二院南院~、恒大社区健康医疗邮局：鸣翠邮局、南石头邮局银行林立：工行、兴业、招行、邮政等。餐饮：KFC~、麦当劳~、真功夫潮汕美食等。娱乐休闲金碧大世界等~、明星会KTV等,步行180米左右到达金碧花园公交站台~、线路：13、59、79、86、87、180、221、230、288、309、546、551等。步行190米左右到达广佛线石溪地铁站B口
鸿益华府 3室2厅 南,582,59334,海珠,3室2厅1卫,98.09㎡,平层,板塔结合,高楼层(共26层),暂无数据,76.22㎡,南,钢混结构,其他,,有,,
宝岗体育场板块 电梯平层单位 一梯两户 南北对流,280,33666,海珠,3室2厅1卫,83.17㎡,平层,板楼,中楼层(共7层),暂无数据,73.83㎡,东南北,钢混结构,简装,,,：1.商场：新一城~、乐峰广场~、江南西步行街、屈臣氏、国美电器、苏宁电器；2.市场：兴龙市场、沙园市场、银行：中国银行、建设银行、工商银行、农业银行、农商银行、邮政储蓄3.医院：海珠区妇幼~、红会医院、广东省口腔医院、珠江医院,公交车：宝岗大道中站~、途经线路包括5、53、113、121、121短线、227、243、244、244短线、244快线、250、270、273、527、530、夜22、夜36和夜37地铁：地铁2号线市二宫站
次新中高层四房 南向横厅 精装修 视野开阔 采光通风佳,738,64494,海珠,4室2厅2卫,114.43㎡,平层,塔楼,低楼层(共55层),暂无数据,暂无,南,钢混结构,精装,,有,公园：庄头公园距离小区500米医疗：广州医学院第二附属医院、南方医科大学珠江医院（三甲医院）配套：华润、华新方圆333广场；保利红棉肉菜市场、广纸肉菜市场、石溪肉菜市场；中国银行、工商银行、建设银行等等,地铁：双地铁配套~、广佛线燕岗站~、11号环城线南石路站公交：纸厂邮局站（29~、31~、230~、963~、469号公交）~、纸厂总站（29~、469~、544~、夜32号线）~、纸厂横马路总站（230号线）
市二宫同福东路 准电梯南向 楼龄新 保育直,206.88,32534,海珠,3室1厅1卫,63.59㎡,平层,塔楼,高楼层(共10层),暂无数据,暂无,南北,钢混结构,其他,,,配套理想~、有三甲红十字会、、广白新一城、富力金禧写字楼~、商场：江南西步行街、广白新一佳、屈臣氏、国美电器、苏宁电器；市场：、堑口肉菜市场、润南肉菜市场、沙园市场、银行：中国银行、建设银行、工商银行、农业银行,
荔海鸣蝉花园~、全明屋三房~、户型方正,160,25958,海珠,3室1厅1卫,61.64㎡,平层,塔楼,高楼层(共9层),暂无数据,51.39㎡,北,钢混结构,简装,,,购物：赤岗购物步行街纵横广场珠影广场饮食：赤岗北路四季天地饮食广场艺园路饮食步行街嘉宴海鲜酒家麦当劳肯德基娱乐：哈艺电影院城KPrtKtv市政单位：广州市自来水公司、广州煤气公司医院：省二医、中西结合医院财厅：建设银行、农业银行。,公交：779路~、988路~、226路~、250路~、高峰快线39路~、20路~、69路~、184路~、130路~、190路。地铁：3/11号线大塘站~、客村站~、8号线客村站~、赤岗站。
翠城花园中高层~、户型方正~、采光视野好,450,47339,海珠,3室2厅2卫,95.06㎡,平层,暂无数据,高楼层(共11层),暂无数据,72.77㎡,南北,钢混结构,精装,,有,商城有燕汇广场.合生生活广场.昌岗信和广场.江泰路科里~、市有华润家.家乐福.盒马鲜生等~、市场有南泰货市场.泉塘市场.沙园西华市场等~、公园有庄头公园~、沙园公园.晓港公园等~、配套齐全,距8号线宝岗地铁站300米~、广佛线燕岗站1000米~、2号线江泰地铁站900米~、公交站有珠江医院总站~、南泰路西站~、昌岗路口站~、橡胶新村站~、翠宝路站~、珠江南景园总站。
保利红棉 正规两房一厅 户型方正,130,25224,海珠,2室1厅1卫,51.54㎡,平层,塔楼,中楼层(共9层),暂无数据,44.53㎡,东,钢混结构,其他,,,,
此房是视野好~、小区封闭式管理。,450,54966,海珠,2室1厅1卫,81.87㎡,平层,塔楼,低楼层(共28层),暂无数据,63.18㎡,南,钢混结构,精装,,有,乐峰广场~、永旺supermarket~、沙园市场~、有太古仓码头、南粤家宴酒家、表嫂私厨、唐苑酒家、洛奇先生餐吧、胡桃里音乐酒馆。,地铁：8号线与广佛线换乘沙园站~、出行便利~、公交站：光大花园站~、线路963.967.813.995.989路~、革新路站：995.989.303.489路。沙园路站：10.121A.16.220.288A.288.303.31.489.75.780.79.811.963.967.995.9.B21.243.487.813.广123路。
罗马家园东西对流大三房楼龄新~、采光好~、视野好,550,39199,海珠,3室2厅2卫,140.31㎡,平层,塔楼,中楼层(共18层),暂无数据,暂无,东西,钢混结构,其他,,有,菜市场300米内~、公交站就在小区门口~、内工商银行~、农业银行~、沥滘公园~、多间餐馆~、水果店~、养生馆~、理发店。,地铁3号线沥滘站地铁广佛线。门口有公交站夜34路~、180路~、86路~、35路~、565路等等。
高层7字单边望江单位~、大三房全望江~、二厅双卫。,441,38415,海珠,3室2厅2卫,114.8㎡,平层,塔楼,高楼层(共30层),暂无数据,93.8㎡,北西,钢混结构,精装,,有,在两公里的商圈有江南西商圈~、新一城~、奥特莱斯广场~、乐峰广场等都是比较出名的大型商圈,
江南西地铁200米 低层全明两房厅出阳台有电梯位,199,31943,海珠,2室1厅1卫,62.3㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,西南,钢混结构,其他,,,拥有800米江南西步行街、新一城商场、富力海珠城。市场：van松园市场、江南东肉菜市场、泰宁市场、沙园市场。银行：中国银行、建设银行、工商银行、农业银行。医院：正骨医院~、广医二院~、珠江医院、红十字会医院。,离江南西地铁A出口200米~、可坐2号线到广州南北区域~、坐一站到昌岗地铁站可转8号线。有多个公交站~、包括南村站~、江南西路站~、华海大厦站等~、可通往广州各大区域~、交通便利。
晓南花园~、精装修实用三房~、中楼层。,175,28680,海珠,3室1厅1卫,61.02㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东南,钢混结构,其他,,,商场：BAI佳商场医院：海珠区新港卫生院、新海医院、省荣军医院、广医二院菜市场：康乐菜市场~、钱大妈~、泰宁菜市场~、细岗菜市场,
电梯平层入户 户型好 大院管理,238,34176,海珠,2室2厅1卫,69.64㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南北,钢混结构,简装,,有,环境安静舒适~、地段好~、交通方便。商场：汇升广场、胜佳*市、柏丽广场、华润*家*市医院：新海医院、广医二院邮局：鹭江邮政局。,：交通出行：交通状况公交：4路、178路、188路、182路、190路、197路、208路、211路、263路、264路、505路、53路、80路、822路、823路、247路、266路地铁：2号线鹭江地铁站、8号线客村站、3号线客村站。
同福路 框架单边细两房 房改实用 光线好诚意出,97,27542,海珠,2室1厅1卫,35.22㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,西南,钢混结构,其他,,,,
客村地铁上.面 精装三房 业主诚心放卖,383,40495,海珠,3室1厅1卫,94.58㎡,平层,塔楼,高楼层(共27层),暂无数据,暂无,东,钢混结构,其他,,有,楼下就是丽影广场~、珠影星光城~、沃尔玛~、生活十分便利~、海底捞~、旁边有步行街~、美食街,公交：69路、184路、190路、226路、130路、20路、14路、189路、206路、252路、264A路、37路等50多路地铁：3号线、8号线客村站。
van松园无占用 电梯小两房 精装修 拎包入住,166,41284,海珠,2室1厅1卫,40.21㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,精装,,有,生活娱乐:奥特莱斯~、富力海珠城~、同乐汇医院：海珠中医院公园：晓港公园,地铁2号线江南西地铁站450米左右；门口公交站；内环、江南大道等出行方便
杏园小区 原装三房 ~、低层三楼  江 ② 装修保养好,268,35720,海珠,3室2厅1卫,75.03㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,北,钢混结构,简装,,,江南西商圈~、入则宁静~、出则繁华~、小区安静舒适~、人文环境好富力海珠城、新一城、工商银行、建设银行、民生银行、农业银行等...骨伤科医院、海珠区妇幼、红十字会医院、广医二院、广东省口腔医院等,此小区交通便利~、公交：江南新村公交车站、海珠区妇幼公交站、江南新村（骨伤科医院）站~、江南西地铁、沙园地铁、宝岗大道地铁、凤凰新村地铁
晓港地铁口旁 原装电梯三房两卫南向 带省一级,430,37552,海珠,3室1厅2卫,114.51㎡,平层,平房,低楼层(共27层),暂无数据,91.67㎡,南,钢混结构,精装,,有,医疗：广医二院、省口腔医院、珠江医院、区妇幼医院；银行：邮政储蓄银行、中国银行、工商银行、建设银行、农业银行、广州银行；购物：合生生活广场、摩登货、新一城、海珠城；市场：细岗市场、泰宁市场、怡乐路肉菜市场,地铁：晓港站；公车：广医二院站、晓港新村站、晓港西马路站、怡乐路口站、晓港中马路站
市二宫楼下地铁站大三房南北对流好通风协商装电梯中！,208,25756,海珠,3室1厅1卫,80.76㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,简装,,,此房位于海珠区市二宫老城区生活配套齐全步行200米内市二宫地铁口东行过马路盒马肉菜市场西行红十字会医院北行过桥是越秀海珠广场南向昌岗到番禺公交车医院大商场酒楼饭店珠江边等均在生活半径,该房子是房改房~、满五~、有1%的土地出让金和个人所得税。税费详情可以咨询房源维护人。
市二宫地铁约400米~、98年建成的框架~、满五唯一,120,26003,海珠,2室1厅1卫,46.15㎡,平层,塔楼,高楼层(共9层),暂无数据,41.52㎡,西南,钢混结构,精装,,,商城最近的大型商城步行约460米~、里面有各色美食~、各种娱乐健身设备~、足够满足您的日常购物、逛街娱乐、消费需求。医院：最近的医院是海珠区中医医院~、步行约650米。距离三甲医院广州市红十字会医院约1.4公里,从基立大厦去到最近的地铁是市二宫地铁站~、约350-400米。公交车站有江南大道中公交站~、基立下道公交站。有多路公交可以直达越秀~、天河~、荔湾~、番禺等。
美术学院 旁边 大院管理 正规三房,265,26701,海珠,3室2厅1卫,99.25㎡,平层,塔楼,高楼层(共7层),暂无数据,暂无,南北,钢混结构,简装,,,配套细岗市场、泰宁市场、四大银行、广医二院、省口腔医院、胜佳chao市；美术学院、中大、九十七、昌岗东,晓港地铁、昌岗地铁、广医二院公车站、晓港中马路站、晓港新村站
朗晴居二期四开间朝南 精装三房 视野开阔望花园,775,66059,海珠,3室1厅2卫,117.32㎡,平层,塔楼,低楼层(共32层),暂无数据,92.27㎡,东南,钢混结构,精装,,有,地铁：2号线市二宫~、医院：海珠区中医医院~、商场：奥特莱斯~、盒马鲜生~、小港肉菜市场~、休闲：大元Suai广场~、距离一公里内海珠广场~、北京路商圈,400米左右即可到市二宫~、地铁2号线市二宫地铁站联通海珠~、越秀~、白云三个区~、两站可换8号线~、一站可换6号线~、出行便利。步行120米到江湾路~、有公交车站和江湾桥南站~、551路、112路、220路、59路、222路等20多条公交线路~、可以直达越秀天河区等地区。
南向电梯2房~、安静望花园~、户型方正,180,29403,海珠,2室1厅1卫,61.22㎡,平层,塔楼,低楼层(共9层),暂无数据,54.86㎡,南西,钢混结构,其他,,有,医院/银行/市场；孙逸仙附属第二医院南院；工商银行、农业银行、中国银行、建设银行、民生银行、沃尔玛,公交车：南洲名苑站~、海珠客运站~、途经线路包括13路、180路、202路、221路、230路、288路、309路、530路、546路、551路、59路、75路、79路、79路A线、836路、86路、87路、9路、夜20路、夜24路、夜7路
怡雅居 低楼层小两房 业主自住保养好,120,25691,海珠,2室1厅1卫,46.71㎡,平层,塔楼,低楼层(共9层),暂无数据,39.3㎡,北,钢混结构,精装,,,,公交情况：卷烟一厂车站:130、69、190、184、226、14、20、139、37、250、270路等地铁：3号线客村站8号线赤岗站
金丰花园 2室1厅 北,338,41848,海珠,2室1厅1卫,80.77㎡,平层,塔楼,中楼层(共26层),暂无数据,61.5㎡,北,钢混结构,精装,,有,,
大院封闭管理 小区环境宜人配套完善 两室一厅,105,21064,海珠,2室1厅1卫,49.85㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,北,钢混结构,其他,,,步行800米左右到地铁~、900米科里购物广场~、燕汇广场~、海珠体育馆~、燕子岗体育,
