北京路板块  户型方正   南北对流,208,29647,越秀,2室1厅1卫,70.16㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,北,钢混结构,简装,,,,
东鸣轩 电梯楼 东向 有阳台 楼龄新,278,56173,越秀,1室0厅1卫,49.49㎡,平层,塔楼,中楼层(共30层),暂无数据,39.45㎡,东,钢混结构,其他,,有,中山图书馆~、广东省博物馆~、北京路步行街~、南越王宫博物馆~、三甲医院广东省人民医院中山大学附属医院。,出门是中山四路公交车站~、仓边路公交车站~、地铁1号线农讲所地铁站
房改房 厅出南向阳台 南北对流 房大厅大,400,50176,越秀,3室1厅1卫,79.72㎡,平层,塔楼,中楼层(共9层),暂无数据,72.03㎡,东南,钢混结构,简装,,,二沙岛东山湖公园地铁东湖站旁边海印电器城。省医中山医光华口腔医院。生活十分方便沿江游船码头菜市场~、幼儿园一应俱全,三地铁~、交通四通发达~、上内环不用等绿灯~、从这里上内环可以接驳高速~、无论过二沙岛~、去东风路~、黄埔大道~、都方便
越秀 省 登峰  公园旁  电梯平层 高层非顶层 楼龄新,170,32271,越秀,2室1厅1卫,52.68㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东,钢混结构,其他,,有,,小北花圈公交站车次多：有66.864.76.190.297.180等线路四通八达小北地铁站任君选择出行
越秀区小北地铁站 加装电梯 框架结构 户型方正,300,56701,越秀,2室1厅1卫,52.91㎡,平层,塔楼,中楼层(共8层),暂无数据,47.8㎡,南北,钢混结构,其他,,有,地处环市路商圈地带~、很有商圈氛围~、环境优雅~、近越秀公园。而且配套成熟~、便利店~、商铺~、商场~、酒店等等一应俱全~、令商务活动更加便捷。商场：新弘汇国际商贸城、金山象商贸城、慧妮贸易商行、东华五金电器经营部、好景商场、裕康货仓式商场、,楼下就有公交车站~、环市中路站~、小北地铁站~、C.D出口~、双向4车道。
环市东路菜寮社区框架三房精装修视野开阔 农小,450,48887,越秀,3室2厅1卫,92.05㎡,平层,塔楼,中楼层(共8层),暂无数据,83.05㎡,南西北,钢混结构,精装,,,,
水荫二横路 院子管理 低层方正实用两房,285,40449,越秀,2室1厅1卫,70.46㎡,平层,塔楼,低楼层(共8层),暂无数据,暂无,东,钢混结构,精装,,,南部战区空军医院南方医院分校水荫门诊部华润市肉菜市场多条公交站地铁5号线动物园站东风公园广州动物园四大银行羽毛球,交通出行方便~、地铁有：5号线动物园站、6号线沙河顶站；公交：192公交总站~、动物园公交总站~、有20路、27路、B2路、78路、133路、192路、199路、233路、268路。广州大道中BIT多条
独栋三层~、有200方huayuan~、有停车位~、少有放盘。,1660,101673,越秀,3室1厅1卫,163.27㎡,平层,板楼,低楼层(共3层),暂无数据,暂无,东南,钢混结构,其他,,,地处越秀东山老城区~、配套完善~、交通方便；银行:工商、农业、建设、中国四大银行；医院:中山大学附属医院、省人民医院；其他：东山肉菜市场、东山ba楼、东山湖公园,地铁1号线与六号线东山口站700米~、多路公交车：192路、551路、B5路、285路、1路、3路、215路等~、交通便
东川路 1室0厅 南,135,43889,越秀,1室0厅1卫,30.76㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,,
三房两卫 逸雅居中层阳光房 143方带主套 精装入住,1050,73263,越秀,3室2厅2卫,143.32㎡,平层,塔楼,中楼层(共30层),暂无数据,暂无,南北,钢混结构,精装,,有,配套有建设新村肉菜市场、保利时光里广场盒马鲜生丽柏广场、友谊商店、宜安广场、好世界广场、广东电视台白云山~、麓湖公园~、广州烈士陵园~、黄花岗公园~、越秀公园~、动物公园~、中山医第壹人民医院~、省人民医院~、省中医二院~、肿瘤医院~、眼科医院~、省皮肤医院,交通出行：有地铁5号线淘金站和小北站~、即将开通12/13号线建设六马路站公交有广东电视台站~、花园酒店站~、建设大马路站~、550~、256~、110~、6~、10~、109~、111~、225~、297
文德北路 三房全明 东南北向 通风采光好,350,47613,越秀,3室1厅1卫,73.51㎡,平层,板楼,高楼层(共6层),暂无数据,暂无,东南,混合结构,简装,,,粤海仰忠汇~、光明广场~、北京路步行街~、五月花广场~、海印缤纷广场~、滨江优美景区~、珠光路综合菜市场~、广州医科大学附属医院~、省中医院。,交通方便~、自驾~、公交。出门100米有十多条公交车线路~、地铁农讲所1号线~、6号线北京路站。
邮电新村  电梯平层  南北对流,400,62884,越秀,2室1厅1卫,63.61㎡,平层,板楼,中楼层(共10层),暂无数据,暂无,南,钢混结构,精装,,,配套有建设新村肉菜市场、盒马鲜生市、沃尔玛好又多；购物广场有丽柏广场、友谊商店、宜安广场、好世界广场、世贸大厦等；饮食设施~、大型美容美发连锁机构；还有保利国际影院、时光里、广东电视台。医院有肿瘤医院等,交通出行方便~、距离5号线淘金地铁站A出口距离480米~、花园酒店公交站有6路B10路30路125路201路225路189路191路219路220路233路278路
明月东山 南向 有私家使用的花YUAN,1050,81725,越秀,3室1厅2卫,128.48㎡,平层,塔楼,低楼层(共8层),暂无数据,108.12㎡,东南,钢混结构,其他,,有,商场：华润家胜佳市银行：工商银行、建设银行、农业银行、中国银行、邮政银行、医院：越秀区东山街社区卫生服务站、广州市中医医院五羊门诊部、洒楼：壹厨、食为先酒家、金和楼酒家、客语、喜宝农家菜、金成潮州酒楼农贸市场等等,交通方面~、步行300可达5号线的地铁五羊邨站A出口~、步行200米有五羊新城公交站：37路、552路、189路、183路、122路、266路、197路。2023年开通地铁10号线
西门口地铁站后面 东南向大三房 12米南向大阳台,285,35039,越秀,3室2厅1卫,81.34㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,简装,,有,房子就在西门口地铁站后面~、有五仙观公园~、人民公园~、甜水巷菜市场~、金花街菜市场~、市一医院~、省中医院~、孙逸仙医院~、中山二院~、妇婴医院~、儿童医院等,地铁一号线西门口站50米~、中山六路公交车站150米~、人民中路公交车站150米~、人民北路公交车站250米~、光塔路公交车总站300米。
大新路 中层精装 3房一厅 配套设施齐全,180,27655,越秀,3室1厅1卫,65.09㎡,平层,板塔结合,中楼层(共9层),暂无数据,57.78㎡,东西,钢混结构,其他,,,,交通方便:J近一德路地铁就德路公交站大新路公交站大德路公交站人民屉路公交站
原小北~、三房~、框架~、可以公积金,293,43968,越秀,3室2厅1卫,66.64㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东,钢混结构,其他,,,旁边有个小公园越秀公园就在家门口绿树成荫中山纪念堂离此房只有200米,距离五号线小北地铁站800米~、2号线纪念堂站500米~、500米范围内由6个公交站~、分别为应元路站~、东风中路站~、仓边路站~、越秀北路站~、法政路站~、广东大厦站等~、途径公交线路众多
永泰路 3室1厅 东南,338,46302,越秀,3室1厅1卫,73㎡,平层,塔楼,低楼层(共8层),暂无数据,65㎡,东南,钢混结构,其他,,,,
淘金侨外 电梯平层三房 南向厅出阳台 区府房改大院,430,48594,越秀,3室1厅1卫,88.49㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,简装,,有,,
北京路低层方正两房 楼下有院 框架结构,220,37301,越秀,2室1厅1卫,58.98㎡,平层,塔楼,低楼层(共8层),暂无数据,暂无,南,钢混结构,简装,,,成熟商圈天字码头江边、新大新、天河城~、北京路步行街、中华广场。越秀区长堤医院广医一院中山二院省中医省人民医院邮局：中国邮政银行：工商银行、农业银行、中国银行、建设银行、,步行街珠江边户型方正格局合理通风好越秀南客运站公园省医院中山一医院~、6号线北京路地铁A出口公交站光路珠公交站珠光路菜市场近天字码头有水吧多条路线去往各区
原装电梯~、楼龄新~、南向户型~、配套成熟~、诚心卖,750,78069,越秀,3室1厅1卫,96.07㎡,平层,塔楼,中楼层(共31层),暂无数据,74.87㎡,南,钢混结构,其他,,有,综合商场：小区门口家有福~、钱大妈银行:工商银行、交通银行、中国银行、建设银行、农业银行医院:中山一院、广东省人民医院、广东药学院附属医院。市场：共和西菜市场~、东园市场。,公交：54路、56路、62路、185路、189路、204路、261路、283路、284路、293路、305路、517路、518路、542路、550路地铁一、五号线杨箕站~、13号线梅东路站。
大新大厦~、4房~、中 层~、满5年旧勏前无占用,438,42649,越秀,4室1厅2卫,102.7㎡,平层,塔楼,中楼层(共23层),暂无数据,暂无,东北,钢混结构,简装,,有,旺中带静。住家装修~、家私家电全齐。小区管理~、安全可靠。简单收拾即可入住餼.交通便利~、近地铁口~、可步行至地铁站~、近公交站~、出行方便。生活设施齐全~、有银行~、菜市场~、医院~、公园。,地铁6号线一德路地铁站~、步行400米可达。公交路线有56号和58号公交车~、交通出行便利
环市东动物园旁 大院管理 中层 南向小两房,240,45164,越秀,2室1厅1卫,53.14㎡,平层,板楼,中楼层(共6层),暂无数据,暂无,南,钢混结构,其他,,,,5号线动物园地铁站距离800米~、黄花岗地铁站600米~、公交站有：天河立交公交~、1.5公里至快速路~、越秀城区~、距离也近~、很是方便的房子
省级东风西 车到家门口 业主精装大3房带主套,328,42781,越秀,3室2厅2卫,76.67㎡,平层,塔楼,中楼层(共13层),暂无数据,暂无,东,钢混结构,其他,,,配套完善~、盘福路兰湖里有肉菜市场~、御东雅苑楼下有大福市场~、建设银行就在大院门口~、步行至流花湖公园350米~、有中国工商银行、中国银行、越秀公园、流花湖公园、中山纪念堂、市一人民医院~、广州医科大学附属口腔医院,
中层电梯  平层入户  朝东南北向 景观好,390,40120,越秀,3室1厅1卫,97.21㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,南,钢混结构,简装,,有,小区旁边就是麓湖公园~、麓景街市就在小区门口~、生活配套齐全~、有胜佳商场、药店、十八涌等多家饭馆~、很多小食店~、工商银行、农业银行等生活配套齐全~、离大肉菜市场100米~、门口公交站~、离地铁站小北站600米~、社区医院也就100米~、生活起居方便。,地铁站：5号线小北站~、12号线恒福路站在建中~、公交站：麓景路公交站~、广州电大麓湖区站等~、公交路线有：76;76A;190;544;546;547;706等。距离小区300米就是恒安路的内环路入口。
五羊新城 南向厅出阳台 房出阳台 安静通风采光好,520,47085,越秀,3室2厅1卫,110.44㎡,平层,塔楼,中楼层(共25层),暂无数据,暂无,南西,钢混结构,精装,,有,商场：明月农贸市场、寺右市场邮局：中国邮政五羊邨邮局银行：中国银行、建设银行、工商银行、农业银行医院：东山区人民医院五羊邨门诊部、广州市中医医院门诊部其他：丽晶会、明珠阁酒家,交通方面~、步行300可达5号线的地铁五羊邨站A出口~、步行200米有五羊新城公交站：37路、552路、189路、183路、122路、266路、197路。2020年开通地铁10号线
八一 精装修 南向三房 户型方正,550,51605,越秀,3室2厅1卫,106.58㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,东南,钢混结构,精装,,,地处越秀东山老城区~、配套完善~、交通方便；银行:工商、农业、建设、中国四大银行；医院:中山大学附属医院、省人民医院；其他：东山肉菜市场、东山ba楼、东山湖公园,地铁1号线与六号线东山口站700米~、多路公交车：192路、551路、B5路、285路、1路、3路、215路等~、交通便利
标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
框架两房 中层单边光线好  少有放盘,355,53968,越秀,2室1厅1卫,65.78㎡,平层,塔楼,中楼层(共10层),暂无数据,暂无,东南北,钢混结构,其他,,,花园酒店~、白云宾馆。广州银行~、交通银行~、工商银行~、建设银行~、农业银行~、民生银行~、招商银行。广东省第二中医院。黄花岗公园~、麓湖公园。沃尔玛~、星巴克~、绿茵阁~、友谊商店~、丽柏广场,小区旁边有2个地铁站：5-6号线换乘站区庄地铁站和5号线的淘金站~、距离分别是700米左右和900米；小区门口就有公交站台~、各路公交车都方便换乘；开车也很方便~、出小区就是环市东路~、去到广州的各个地方都很方便
东风广场 三期两居室 楼龄新 视野开阔,650,97320,越秀,2室1厅1卫,66.79㎡,平层,板楼,高楼层(共33层),暂无数据,53.11㎡,西南,钢混结构,其他,,有,银行：中国银行、建设银行、农业银行、工商银行~、医院：四五八医院、中山一院~、其他：麦当劳、肯德基、ok便利店、7-11便利店、东峻广场等。,双地铁线~、5号与1号线环市东路与广州大道三主干道交通出行便利
惠福西路加装电梯 东南北三面单边 房改房使用率高,238,33489,越秀,2室2厅1卫,71.07㎡,平层,塔楼,高楼层(共9层),暂无数据,63.09㎡,东南,钢混结构,简装,,有,房屋位于惠福西路~、500米内有甜水巷菜市场~、海珠路菜市场~、五仙观公园~、海珠广场公园800米~、人民公园900米~、茶楼至少有八九家。,
淘金家园4期峯璟南向2房~、格局方正~、视野开阔。,820,107162,越秀,2室2厅1卫,76.52㎡,平层,塔楼,中楼层(共17层),暂无数据,暂无,东南南,钢混结构,精装,,有,地铁站5号线和6号线；商场：丽柏广场（1.2km）、友谊商店（886m）、沃尔玛（775m）、钱大妈（270m）；悠闲：黄花岗公园（473m）、广州动物园（1.2km）；停车场：淘金东路咪咕停车场（78m）菜市场：淘金农贸菜市场（486m）、淘金北菜市场（862m）,淘金家园小区B出口距离地铁6号线黄花岗站（924m）、地铁5号线淘金站B入口（1.1km）。公交：482路公交车可直接到达白云宾馆站、黄花岗公交站以及广州动物园、10路、245路、16路、85路、112路、201路、219路、482路等52条公交线路。
雕塑公园旁~、电梯平层三房~、双地铁~、条形砖外墙,300,28162,越秀,3室2厅1卫,106.53㎡,平层,塔楼,高楼层(共9层),暂无数据,94.1㎡,南北,钢混结构,其他,,有,,在建11号12号线广园中路站300米~、双地铁~、旁边有.下塘西路和老干大学公交车站7676A8646654654781070619093等等
华景大厦 原装电梯三房 五羊邨地铁 配套成熟 户型方正,450,61426,越秀,3室1厅1卫,73.26㎡,平层,塔楼,中楼层(共25层),暂无数据,暂无,东北,钢混结构,其他,,有,商场：华润、医院：广州愈生中医院、解放军南部军区门诊部、中山医院银行：中国建设银行、招商银行、邮政银行、工商银行等其他：麦当劳~、肯德基~、7-11便利店,5号线五羊邨~、3号线/5号线珠江新城站公交线路南方报社站：122、130、183、195、252、263、301路等~、和珠江新一路之隔。
管理好~、楼龄新2008年~、户型方正~、高层视野好~、近地铁,720,77553,越秀,3室1厅1卫,92.84㎡,平层,塔楼,中楼层(共31层),暂无数据,71.55㎡,北东,钢混结构,简装,,有,医院：南部战区空军医院、广东药科大学附属医院、广东民安医院购物：井货、广货、东山汇买菜：有二楼市场、乐家生鲜、平信购物公园：黄花岗公园、东风公园,地铁：距离动物园地铁站200米公交：542路、112路、192路、夜39路、74路、高峰快线23路、高峰快线52路。
大新路 旧部qian 中层精装俩房 南北向 配套设施齐全,150,35031,越秀,2室1厅1卫,42.82㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东南,钢混结构,简装,,,,交通方便:近一德路地铁口一德路公交站大新路公交站大德路公交站人民南路公交站
德政北路电梯平层 西南向两房 户型方正 近地铁,370,50811,越秀,2室1厅1卫,72.82㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,西南,钢混结构,简装,,有,配套成熟~、优良地段~、适宜居住！菜市场~、人民公园~、越秀公园~、纪念堂~、东濠涌公园永旺商场步行可达！,
小东园　电梯　南北通透　位置安静　有车位　近地铁,550,76816,越秀,2室1厅1卫,71.6㎡,平层,塔楼,中楼层(共16层),暂无数据,57.79㎡,南北,钢混结构,其他,,有,,东山口地铁：1/6号线~、公交农林东路、中山二路、农林下电车总站~、30多条公交线路方便出行。
东湖公园 方正大两房 东南向 全明屋,198,26351,越秀,2室1厅1卫,75.14㎡,平层,暂无数据,高楼层(共9层),暂无数据,暂无,东南,钢混结构,简装,,,东湖公园就100米双地铁上交通便利~、配套成熟珠江边100米旺中带静。医疗配套完善,
大新路 中层 实用2房一厅 厅出阳台 采光充足 交通方便,150,32224,越秀,2室1厅1卫,46.55㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东,钢混结构,简装,,,,交通方便:近一德路地铁口一德路公交站打新路公交站解放南公交站~、大德路公交站
东风东 使用率高 安静 密度低 梦想的家园！,900,116717,越秀,3室1厅1卫,77.11㎡,平层,塔楼,低楼层(共33层),暂无数据,暂无,南北,钢混结构,简装,,有,,地铁：1/6线东山口、5/6线区庄、东风东路同步2个地铁口在建；医院：省人民医院、中大附一医院、中大专科医院、广药附一医院；商chao：永旺chao市、广baibai货、锦轩现代城等；省二幼、市二幼~、东风东、农林下~、执信中~、中山大学、广工大学等。
越秀区 公园前 西门口 户型方正  带大阳台,237,34941,越秀,3室2厅1卫,67.83㎡,平层,塔楼,低楼层(共6层),暂无数据,暂无,西南,钢混结构,精装,,,距离此房有越秀人民公园市一医院西门口大型商圈带有多家全国国企银行西门口公园前步行454米地铁站正正中间位置,
公园前双地铁 两房全明带独立天台,99,29928,越秀,2室1厅1卫,33.08㎡,平层,板楼,高楼层(共6层),暂无数据,暂无,北,混合结构,其他,,,公园：人民公园、中山纪念堂、五仙观广场等；购物：白佳、乐购、胜佳等；银行：工行、招行、平安、建行、农行等；休闲：北京路步行街、惠福东美食街等；酒楼：旺旺酒家、陶陶居酒家、富临食府、武林厨神、点都德酒家等。,地铁：一二号线公园前地铁站；公交：公交车站有公园前站、中山五路站、中山六路站、解放中路站、广卫路站等。
仓边路 2室1厅 西,250,39476,越秀,2室1厅1卫,63.33㎡,平层,塔楼,低楼层(共9层),暂无数据,56.22㎡,西,钢混结构,其他,,,,
一线江景 户型方正 原装电梯 安静不吵 通风采光好,460,52380,越秀,3室2厅2卫,87.82㎡,平层,塔楼,高楼层(共31层),暂无数据,暂无,南西南,钢混结构,其他,,有,商场：宏光玻璃、美香食品、利民五金交电、东华商店、大荣华食杂店、东昌综合商店、陆禄、全兴鞋业商店、华南家电维修部、广州市顺天祥木材厂经营门市部~、医院：省人民医院骨质疏松防治、霍英东心脏、岭南心血管等,有2条地铁线可选择~、房子距离一号线烈士陵园站约600米~、距离六号线团一大站约500米。楼下有公交车535总站~、还有多路公交车包括192~、551等~、驾车地下停车场出来~、500米上内环~、畅游广州全境。
置地大厦高层方正两房  北向正望体育场视野开阔,480,54733,越秀,2室1厅1卫,87.7㎡,平层,塔楼,高楼层(共32层),暂无数据,暂无,北,钢混结构,其他,,有,公园：鲁迅纪念公园~、东山湖公园~、美山婚礼公园医院：中山大学附属医院~、广东省人民医院商场：中华广场~、流行前线~、paste（中华广场店）东川新街市~、胜佳c市,广东省人民医院商场：中华广场~、流行前线~、paste（中华广场店）东川新街市~、胜佳c市交通；1号线烈士陵园（12号线即将开通）~、东华西路公交站台（3路~、106路~、215路~、夜21路
刚需低总jia+南向+全明屋+中层+近地铁+通风采光靓,168,32903,越秀,1室1厅1卫,51.06㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南北,钢混结构,其他,,,配套完善~、有时光里广场、星巴克和扶光书店；保利中环、友谊广场、丽柏广场、中华广场四个商场；盒马生鲜、建设肉菜市场就在隔壁；麓湖公园、越秀公园、烈士陵园、黄花岗..,地铁5号线小北站距离500米、地铁12号线13号线距离500米
房子户型方正 框架结构 中楼层采光通风好 全明房三房,400,42644,越秀,3室2厅1卫,93.8㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,,
龟岗大马路 培正框架 三房 三面单边,450,62841,越秀,3室1厅1卫,71.61㎡,平层,塔楼,高楼层(共7层),暂无数据,暂无,南,钢混结构,其他,,,配套丰富！就近有东山大楼、东山市场、龟岗肉菜市场~、庙前西街、庙前直街、龟岗美食街~、生活便利~、闲暇时逛街散步好地方。除此之外还有东山湖公园~、园内风景优美~、小朋友老人都喜欢到园内玩。医疗方面有相当出名的中山医和广东省人民医院等等...,
小面积正规 一房一厅 采光通风好,110,34646,越秀,1室1厅1卫,31.75㎡,平层,暂无数据,中楼层(共6层),暂无数据,暂无,东南南北,未知结构,简装,,,,地铁1号线和5号线杨箕站、地铁5号线五羊邨站、公交达道路183路、222、225、40、44、811、珠江宾馆站40、44、183、222、225、781、811、高峰快线81路、五羊新城站90路、138、222、778、781、B22
东实 低层东南向两房 厅出阳台 看房方便,398,54387,越秀,2室1厅1卫,73.18㎡,平层,塔楼,低楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,有,医院：中山一院、南部战区空军医院、广东省中医院二沙岛分院、广州市第十二人民医院银行：中行、工行、农行、建行等市场：寺右肉菜市场、明月肉菜市场、东兴肉菜市场生活娱乐：高德置地、五羊新地、289艺术园、二沙岛传祺公园、体育公园等,地铁：5号线五羊邨站、1/5号线杨箕站、10号线寺右新马路站
永福路1号大院~、平层电梯~、一梯两户,550,53859,越秀,3室2厅1卫,102.12㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,南,钢混结构,简装,,,公园：广州动物园~、黄花岗公园~、东风东公园：菜市场：科学院菜市场~、沙河顶菜市场：交通：6号线黄花岗站~、动物园站；公交站：广州动物园~、永福路等。,
东湖西路 户型方正 低层两房 采光通风好,258,44148,越秀,2室1厅1卫,58.44㎡,平层,塔楼,低楼层(共9层),暂无数据,52.8㎡,南,钢混结构,其他,,,东湖片区星之光电器城海印广场胜佳市场东湖菜市场农业银行中国银行工商银行等等,双地铁~、交通四通发达~、上内环不用等绿灯~、从这里上内环可以接驳高速~、无论过二沙岛~、去东风路~、黄埔大道~、都方便
大德路旧部户型方正中楼层配套完善,260,36569,越秀,3室1厅1卫,71.1㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,南东南,钢混结构,精装,,,小区500米内有广东省中医院~、惠福西菜市场~、儿童医院等~、生活配套完善,小区500内有大德路公交车站~、还有一德路地铁站~、交通出行便利
光塔路 2室1厅 东北,175,42088,越秀,2室1厅1卫,41.58㎡,平层,板楼,低楼层(共3层),暂无数据,暂无,东北,钢混结构,精装,,,,
三元里 地铁站 800米 电梯 南向 装修保养好 三房,190,25735,越秀,3室2厅1卫,73.83㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,精装,,有,小区大门处有麦当劳~、小区处有乐嘉广场~、广场有电影院~、市场~、生活方便、酒店,小区步行到卜蜂莲花商场约~、步行到乐嘉广场约~、步行到中医院约~、步行到沙涌北综合市场约。步行有公交车站地铁口离小区约
青菜岗 精装小两房 南向 业主自住 四楼,199,53828,越秀,1室1厅1卫,36.97㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,南,钢混结构,精装,,,配套有建设新村肉菜市场、盒马鲜生、沃尔玛好又多；购物广场有丽柏广场、友谊商店、宜安广场、好世界广场、世贸大厦等；饮食设施、韩国料理、日本料理、酒吧、咖啡厅、星巴克、大型美容美发连锁机构；还有保利国际影院、时光里、广东电视台,
精装修  东向两房 采光很好  楼下地铁,160,40000,越秀,2室1厅1卫,40㎡,平层,板楼,中楼层(共10层),暂无数据,暂无,东,钢混结构,其他,,,距离西门口地铁站仅300米~、购物：捷泰广场华润~、越秀新都汇大厦距离富邦商城盒马仅650米左右饮食六婶厨娘名盈轩酒家。,
标题,总价,单价,区域,房屋户型,建筑面积,户型结构,建筑类型,所在楼层,楼层高度,套内面积,房屋朝向,建筑结构,装修情况,户梯比例,配备电梯,周边配套,交通出行
地铁口  收租高  主要带精装修,130,37143,越秀,1室1厅1卫,35㎡,平层,板楼,中楼层(共10层),暂无数据,暂无,西南,钢混结构,其他,,,：出门即有公交车站跟一号线西门口地铁站~、交通出行方便；华润玩家跟甜水巷肉菜市场在旁边~、购物方方便；人民公园跟越秀公园在3公里以内~、平时散步好去处。,
广医小区 环境好 全明两房 厅出阳台 装修保养好,320,50040,越秀,2室1厅1卫,63.95㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东东南,钢混结构,精装,,有,医院：市一人民医院市场：盘福路菜市场公园：越秀公园~、流花湖公园地铁：越秀公园地铁站交通出行越秀公园站~、纪念堂站~、盘福路..,
入省东风西 小区管理 有位置停车 空气环境好,166,39004,越秀,1室1厅1卫,42.56㎡,平层,塔楼,高楼层(共7层),暂无数据,暂无,南北,混合结构,精装,,,有流花湖公园中山纪念堂离越秀公园也近有工商银行农业银行中国银行建设银行,公交车站有广医站流花湖站盘福路站地铁是11号线流化湖站
丨日部前 一德路地铁站 低层一房一厅,65,25078,越秀,1室1厅1卫,25.92㎡,平层,塔楼,中楼层(共4层),暂无数据,23.99㎡,东西,钢混结构,其他,,,一德路地铁步行200米距离~、800米内有广医一院、广东省中医院、多路公交车站、银行有农业银行、工商银行、建设银行。,
海珠北路 2室1厅 东南,173,32809,越秀,2室1厅1卫,52.73㎡,平层,塔楼,低楼层(共7层),暂无数据,暂无,东南,钢混结构,简装,,,,
东华东路 1室1厅 东,155,52938,越秀,1室1厅1卫,29.28㎡,平层,塔楼,中楼层(共6层),暂无数据,26㎡,东,钢混结构,其他,,,,
华侨新村 3室2厅 南,345,65107,越秀,3室2厅1卫,52.99㎡,平层,塔楼,高楼层(共10层),暂无数据,暂无,南,钢混结构,其他,,,,
锦源国际公寓 1室1厅 南,150,35162,越秀,1室1厅1卫,42.66㎡,平层,塔楼,高楼层(共37层),暂无数据,31.82㎡,南,钢混结构,精装,,有,,
地铁上gai+高分户型+全明双阳台+楼龄新管理好,470,60049,越秀,2室2厅1卫,78.27㎡,平层,塔楼,中楼层(共31层),暂无数据,62.19㎡,北,钢混结构,简装,,有,步行约50米到中山六路公交车站~、楼下是地铁站；三甲医院多且成熟~、近流花湖公园、人民公园、海珠广场~、沿江路公园等,
次新楼小区仅有的三房3卫 视野开阔没遮挡 业主诚意出,900,74646,越秀,3室2厅3卫,120.57㎡,平层,塔楼,高楼层(共30层),暂无数据,暂无,东南,钢混结构,其他,,有,榨粉街菜市场~、中山图书馆、南越王博物馆、城隍庙、广东省博物馆(旧址)~、广州图书馆~、烈士陵园老街城~、中华广场~、北京路步行街。,榨粉街菜市场~、中山图书馆、南越王博物馆、城隍庙、广东省博物馆(旧址)~、广州图书馆~、烈士陵园老街城~、中华广场~、北京路步行街。
电梯三房 采光通风好 楼距宽 舒适宜居 证过五年唯一,410,46874,越秀,3室1厅1卫,87.47㎡,平层,塔楼,高楼层(共9层),暂无数据,80.68㎡,西北,钢混结构,简装,,有,公园：广州动物园、东风公园；医院：越秀区圣亚医院、广州解放军第458医院、广空司令部医院、白云区人民医院；购物：天河城、正佳广场、维多利广场、时代广场、华润；胜佳、、双菜市场；银行：中国银行、工商银行、广发银行。,地铁：3号线林和西站、5号线动物园站、6号线沙河顶站；公交：20路、27路、B2路、78路、133路、192路、199路、233路、268路。
此房满五南北对流保养新净楼层好视野宽阔格局好,300,66431,越秀,1室1厅1卫,45.16㎡,平层,塔楼,高楼层(共36层),暂无数据,暂无,南,钢混结构,其他,,有,公园有越秀公园~、麓湖公园~、保利中环商场~、电影院~、盒马生鲜友谊商店~、中山一院~、省人民医院,地铁5号线小北站及淘金站~、公交有小北站~、花园酒店站~、电视台站~、多条公交到任意地方
此房满五唯一南北对流保养新净楼层好视野宽阔格局好,1380,95166,越秀,3室2厅2卫,145.01㎡,平层,塔楼,高楼层(共36层),暂无数据,暂无,南,钢混结构,其他,,有,公园有越秀公园~、麓湖公园~、保利中环商场~、电影院~、盒马生鲜友谊商店~、中山一院~、省人民医院,地铁5号线小北站及淘金站~、公交有小北站~、花园酒店站~、电视台站~、多条公交到任意地方
电梯两房东南向 安静不吵保养好 户型实用采光好,197,40931,越秀,2室1厅1卫,48.13㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东,钢混结构,精装,,有,商场：宏光玻璃、美香食品、利民五金交电、东华商店、大荣华食杂店、东昌白货商店、陆禄、全兴鞋业商店、华南家电维修部、广州市顺天祥木材厂经营门市部~、医院：省人民医院骨质疏松防治、霍英东心脏、岭南心血管等,地处越秀东山老城区~、配套完善~、交通方便；银行:工商、农业、建设、中国四大银行；医院:中山大学附属医院、省人民医院；其他：龟岗肉菜市场、东山白货大楼、东山湖公园交通出行：地铁1号线烈士陵园站900米~、6号线东湖站500米；多路公交车：192路、551路..
